"filename", "language", "C++", "Markdown", "Batch", "comment", "blank", "total"
"c:\Users\adyow\Downloads\GeckoLang\build.bat", "Batch", 0, 0, 1, 0, 0, 1
"c:\Users\adyow\Downloads\GeckoLang\readme.md", "Markdown", 0, 15, 0, 0, 5, 20
"c:\Users\adyow\Downloads\GeckoLang\src\exceptions\incompatible_type_exception.cpp", "C++", 3, 0, 0, 0, 2, 5
"c:\Users\adyow\Downloads\GeckoLang\src\exceptions\incompatible_type_exception.h", "C++", 12, 0, 0, 0, 3, 15
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\binary_expression.cpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\binary_expression.h", "C++", 6, 0, 0, 0, 3, 9
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\expression.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\expression.h", "C++", 7, 0, 0, 0, 1, 8
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\function_call.cpp", "C++", 7, 0, 0, 0, 4, 11
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\function_call.h", "C++", 7, 0, 0, 0, 2, 9
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\identifier.cpp", "C++", 5, 0, 0, 0, 1, 6
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\identifier.h", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\indexing_expression.cpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\indexing_expression.h", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\double_literal.cpp", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\double_literal.h", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\int_literal.cpp", "C++", 10, 0, 0, 0, 4, 14
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\int_literal.h", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\literal.cpp", "C++", 1, 0, 0, 0, 1, 2
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\literals\literal.h", "C++", 17, 0, 0, 0, 3, 20
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\ternary_expression.cpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\ternary_expression.h", "C++", 6, 0, 0, 0, 2, 8
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\unary_left_expression.cpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\unary_left_expression.h", "C++", 6, 0, 0, 0, 2, 8
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\unary_right_expression.cpp", "C++", 7, 0, 0, 0, 3, 10
"c:\Users\adyow\Downloads\GeckoLang\src\expressions\unary_right_expression.h", "C++", 6, 0, 0, 0, 3, 9
"c:\Users\adyow\Downloads\GeckoLang\src\komodo.cpp", "C++", 300, 0, 0, 34, 49, 383
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\character_parser.cpp", "C++", 22, 0, 0, 0, 6, 28
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\character_parser.h", "C++", 9, 0, 0, 0, 4, 13
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\character_type.h", "C++", 10, 0, 0, 0, 0, 10
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\token.cpp", "C++", 178, 0, 0, 15, 20, 213
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\token.h", "C++", 15, 0, 0, 0, 4, 19
"c:\Users\adyow\Downloads\GeckoLang\src\lexing\token_type.h", "C++", 67, 0, 0, 1, 5, 73
"c:\Users\adyow\Downloads\GeckoLang\src\operators\binary\arithmetic\arithmetic_operator.cpp", "C++", 0, 0, 0, 0, 1, 1
"c:\Users\adyow\Downloads\GeckoLang\src\operators\binary\arithmetic\arithmetic_operator.h", "C++", 5, 0, 0, 0, 1, 6
"c:\Users\adyow\Downloads\GeckoLang\src\operators\binary\arithmetic\ops\addition_operator.cpp", "C++", 41, 0, 0, 0, 7, 48
"c:\Users\adyow\Downloads\GeckoLang\src\operators\binary\arithmetic\ops\addition_operator.h", "C++", 4, 0, 0, 0, 1, 5
